T	static	static_1024	dynamic_1024	guided
2	3.501211	3.505505	3.677406	3.629759
4	2.005794	1.960449	2.080414	2.070393
8	1.885968	1.854369	1.937168	1.934277
16	1.898184	1.888214	1.941816	2.050955
